762376	GCF_000165835.1	85698	Achromobacter xylosoxidans A8	strain=A8	Complete Genome	Full	2010/10/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/835/GCF_000165835.1_ASM16583v1/	na	bacteria	2023/11/26	6864	6762	74	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	Achromobacter xylosoxidans A8	GCF_000165835.1_ASM16583v1
758826	GCF_020510705.1	758826	Acidovorax radicis	strain=79	Complete Genome	Full	2021/10/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/510/705/GCF_020510705.1_ASM2051070v1/	na	bacteria	2023/11/17	4563	4426	71	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax radicis	unclassified Acidovorax radicis subspecies/strain	GCF_020510705.1_ASM2051070v1
497978	GCF_000226275.2	470	Acinetobacter baumannii MDR-ZJ06	strain=MDR-ZJ06	Complete Genome	Full	2018/10/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/275/GCF_000226275.2_ASM22627v2/	na	bacteria	2023/11/26	3897	3722	96	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Acinetobacter baumannii MDR-ZJ06	GCF_000226275.2_ASM22627v2
1851395	GCF_002356195.1	1851395	Actinomyces sp. Chiba101	strain=Chiba101	Complete Genome	Full	2017/02/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/195/GCF_002356195.1_ASM235619v1/	na	bacteria	2024/02/12	2372	2278	62	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. Chiba101	unclassified Actinomyces sp. Chiba101 subspecies/strain	GCF_002356195.1_ASM235619v1
1870995	GCF_002860685.3	1870995	Actinotignum timonense	strain=UMB0063	Complete Genome	Full	2023/11/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/685/GCF_002860685.3_ASM286068v3/	na	bacteria	2024/01/24	1918	1853	57	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum timonense	unclassified Actinotignum timonense subspecies/strain	GCF_002860685.3_ASM286068v3
2976810	GCF_003286735.3	2976810	Aerococcus mictus	strain=UMB1016	Complete Genome	Full	2024/04/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/735/GCF_003286735.3_Hybrid_assembly_2.0/	na	bacteria	2024/04/05	2040	1942	76	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus mictus	unclassified Aerococcus mictus subspecies/strain	GCF_003286735.3_Hybrid_assembly_2.0
272556	GCF_000604045.1	714	Aggregatibacter actinomycetemcomitans HK1651	strain=HK1651	Complete Genome	Full	2014/03/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/045/GCF_000604045.1_ASM60404v1/	na	bacteria	2024/02/01	2075	1862	78	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans HK1651	GCF_000604045.1_ASM60404v1
358	GCF_025560345.1	358	Agrobacterium tumefaciens	strain=SJ003	Complete Genome	Full	2022/10/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/560/345/GCF_025560345.1_ASM2556034v1/	na	bacteria	2023/10/20	5000	4880	72	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	unclassified Agrobacterium tumefaciens subspecies/strain	GCF_025560345.1_ASM2556034v1
32001	GCF_958448115.1	511	Alcaligenes faecalis subsp. faecalis	strain=ATCC 8750	Complete Genome	Full	2023/11/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/958/448/115/GCF_958448115.1_AFN_v2/	na	bacteria	2023/11/03	3765	3678	70	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	Alcaligenes faecalis subsp. faecalis	GCF_958448115.1_AFN_v2
338110	GCF_002618925.1	1945586	Escherichia phage NC29	na	Complete Genome	Full	2006/03/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/618/925/GCF_002618925.1_ASM261892v1/	na	viral	2007/05/22	10	10	0	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Alphatrevirus	Alphatrevirus NC29	unclassified Alphatrevirus NC29 subspecies/strain	GCF_002618925.1_ASM261892v1
